,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,song_name,cluster
114,0.261,0.562,8,-3.667,1,0.0301,0.423,7.54e-06,0.131,0.167,70.543,Leona Lewis,A Moment Like This,2
115,0.48,0.823,4,-6.678,0,0.05,8.17e-05,0.0,0.183,0.394,109.92,Leona Lewis,Jesus Is My Rock - Live,4
116,0.399,0.252,10,-17.083,0,0.0377,0.527,0.0,0.126,0.173,136.018,Leona Lewis,I See You (Theme from Avatar),2
117,0.595,0.745,6,-2.053,1,0.0259,0.0717,1.71e-06,0.448,0.459,124.993,Leona Lewis,Collide - Radio Edit,5
118,0.734,0.639,8,-7.055,1,0.0326,0.0851,0.0,0.326,0.364,116.994,Leona Lewis,Yesterday,1
119,0.621,0.967,2,-3.31,0,0.0741,0.0248,0.00217,0.412,0.51,126.871,Leona Lewis,Bleeding Love - Moto Blanco Remix Radio Edit,4
120,0.587,0.738,7,-4.469,1,0.0282,0.548,0.0,0.109,0.329,99.046,Leona Lewis,I Got You,1
121,0.336,0.523,1,-4.856,1,0.0343,0.576,0.0,0.107,0.189,73.298,Leona Lewis,My Hands,2
122,0.412,0.662,2,-5.011,0,0.035,0.0144,6.86e-05,0.134,0.289,134.869,Leona Lewis,Thick Skin,0
123,0.462,0.602,7,-4.167,1,0.0285,0.142,0.0,0.156,0.184,75.071,Leona Lewis,I Will Be,0
124,0.461,0.781,6,-2.803,1,0.0494,0.0354,0.0817,0.101,0.411,183.888,Leona Lewis,Thunder,0
125,0.63,0.893,6,-2.028,1,0.0664,0.0181,0.0,0.0773,0.647,101.289,Leona Lewis,Fire Under My Feet,1
126,0.513,0.683,2,-6.621,1,0.146,0.0955,3.56e-06,0.432,0.583,92.011,Leona Lewis,What a Love - Live,5
127,0.666,0.68,8,-4.936,0,0.103,0.396,0.0,0.108,0.462,73.951,Leona Lewis,Take a Bow,4
128,0.724,0.834,10,-4.269,0,0.0834,0.0193,3.58e-06,0.0735,0.689,100.094,Leona Lewis,Solo Quiero (Somebody To Love) - From Songland,4
129,0.563,0.8,6,-3.473,1,0.0395,0.645,0.000164,0.115,0.428,163.981,Leona Lewis,Better in Time - Single Mix,0
130,0.653,0.825,7,-5.693,0,0.0836,0.126,4.17e-06,0.193,0.547,97.993,Leona Lewis,One Step Closer (Theme Song from the Apple Original Series “Jane”),4
131,0.629,0.625,1,-5.293,1,0.0353,0.21,0.0,0.0796,0.524,125.003,Leona Lewis,Can't Breathe,1
132,0.423,0.419,8,-5.107,1,0.0333,0.732,0.0,0.174,0.24,119.367,Leona Lewis,Footprints in the Sand - Single Mix,2
133,0.301,0.482,5,-6.354,0,0.0288,0.307,3.75e-05,0.124,0.0936,142.222,Leona Lewis,Run - Single Mix,0
134,0.492,0.727,11,-2.978,0,0.0347,0.112,5.15e-05,0.198,0.24,138.038,Leona Lewis,Broken,4
135,0.672,0.717,5,-4.891,1,0.0356,0.129,0.0,0.139,0.292,104.019,Leona Lewis,Bleeding Love - Radio Edit,1
136,0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,Eric Prydz,Call on Me - Radio Mix,5
137,0.605,0.874,7,-4.949,0,0.0295,0.000563,0.812,0.112,0.836,125.99,Eric Prydz,Pjanoo - Radio Edit,6
138,0.556,0.792,4,-6.723,0,0.0361,0.000521,0.75,0.494,0.0871,127.956,Eric Prydz,We Are Mirage,6
139,0.382,0.719,10,-7.155,0,0.0474,3.39e-05,0.277,0.152,0.289,127.196,Eric Prydz,Tether (Eric Prydz Vs. CHVRCHES) - Radio Edit,4
140,0.603,0.826,11,-5.072,1,0.0274,0.00755,5.54e-05,0.119,0.598,127.026,Eric Prydz,Generate - Radio Edit,1
141,0.643,0.793,8,-8.944,0,0.326,0.00212,0.103,0.458,0.198,126.32,Eric Prydz,Call on Me,3
142,0.275,0.721,6,-6.222,0,0.0359,0.000702,0.821,0.0792,0.184,125.156,Eric Prydz,Opus,6
143,0.477,0.728,7,-5.978,0,0.0378,0.00298,0.26,0.124,0.0341,125.988,Eric Prydz,Every Day,0
144,0.509,0.88,5,-5.47,1,0.0355,0.0021,0.837,0.661,0.459,127.005,Eric Prydz,Liberate,6
145,0.537,0.937,0,-4.543,1,0.0523,0.00102,0.035,0.0917,0.324,124.938,Eric Prydz,Proper Education - Radio Edit,0
146,0.663,0.624,7,-6.923,0,0.0324,0.000939,0.888,0.0666,0.63,126.024,Eric Prydz,Pjanoo - Club Mix,6
147,0.64,0.873,11,-5.142,1,0.0267,0.00813,0.0595,0.483,0.201,127.0,Eric Prydz,Generate,5
148,0.494,0.938,3,-4.828,1,0.0402,0.00117,0.952,0.118,0.17,127.004,Eric Prydz,NOPUS,6
149,0.436,0.945,2,-3.72,1,0.0668,0.000651,0.18,0.312,0.361,127.965,Eric Prydz,Niton (The Reason) - Radio Edit,0
150,0.623,0.927,7,-6.845,1,0.0367,0.0646,0.917,0.272,0.232,125.995,Eric Prydz,Liam,6
151,0.606,0.847,10,-5.974,1,0.382,0.00362,0.00123,0.785,0.471,126.272,Eric Prydz,Call On Me - Radio Edit,5
