,artist,song_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
1532,Avril Lavigne,Things I'll Never Say,spotify:track:3nH2w4Q9yths31lC9C26fT,0.573,0.806,2,-5.172,1,0.0326,0.000598,5.28e-06,0.142,0.589,101.998,audio_features,3nH2w4Q9yths31lC9C26fT,https://api.spotify.com/v1/tracks/3nH2w4Q9yths31lC9C26fT,https://api.spotify.com/v1/audio-analysis/3nH2w4Q9yths31lC9C26fT,223867,4
1533,Avril Lavigne,Rock N Roll,spotify:track:471JGLzHPrgM4lS9mNOEIt,0.465,0.956,0,-3.34,0,0.128,0.00963,0.000101,0.335,0.665,184.126,audio_features,471JGLzHPrgM4lS9mNOEIt,https://api.spotify.com/v1/tracks/471JGLzHPrgM4lS9mNOEIt,https://api.spotify.com/v1/audio-analysis/471JGLzHPrgM4lS9mNOEIt,206680,4
1534,Avril Lavigne,Don't Tell Me,spotify:track:0dEQaNYfp5G7Sflek2Qnde,0.523,0.795,4,-2.92,1,0.0386,0.00462,0.0,0.358,0.484,144.106,audio_features,0dEQaNYfp5G7Sflek2Qnde,https://api.spotify.com/v1/tracks/0dEQaNYfp5G7Sflek2Qnde,https://api.spotify.com/v1/audio-analysis/0dEQaNYfp5G7Sflek2Qnde,202013,4
1535,Avril Lavigne,Bad Girl (feat. Marilyn Manson),spotify:track:1HiV8vDg7l9eKp6abjvA7P,0.429,0.939,0,-3.305,1,0.137,4.72e-05,3.76e-05,0.409,0.335,157.989,audio_features,1HiV8vDg7l9eKp6abjvA7P,https://api.spotify.com/v1/tracks/1HiV8vDg7l9eKp6abjvA7P,https://api.spotify.com/v1/audio-analysis/1HiV8vDg7l9eKp6abjvA7P,174907,4
1536,Avril Lavigne,Let Me Go (feat. Chad Kroeger),spotify:track:2o0V0AATmWmCmMOAFWDuEV,0.385,0.654,4,-6.635,1,0.0342,0.212,0.0,0.136,0.125,164.196,audio_features,2o0V0AATmWmCmMOAFWDuEV,https://api.spotify.com/v1/tracks/2o0V0AATmWmCmMOAFWDuEV,https://api.spotify.com/v1/audio-analysis/2o0V0AATmWmCmMOAFWDuEV,267973,3
1537,Avril Lavigne,The Best Damn Thing,spotify:track:7lmX3dD2Xy13Jo1oCTR4ot,0.555,0.943,2,-2.492,1,0.0891,0.00187,3.92e-05,0.151,0.882,165.027,audio_features,7lmX3dD2Xy13Jo1oCTR4ot,https://api.spotify.com/v1/tracks/7lmX3dD2Xy13Jo1oCTR4ot,https://api.spotify.com/v1/audio-analysis/7lmX3dD2Xy13Jo1oCTR4ot,189200,4
1538,Avril Lavigne,Fall To Pieces,spotify:track:396WOfbkqKaXYFwx6XjdOF,0.432,0.9,0,-2.832,1,0.0447,0.00248,0.0,0.631,0.486,178.086,audio_features,396WOfbkqKaXYFwx6XjdOF,https://api.spotify.com/v1/tracks/396WOfbkqKaXYFwx6XjdOF,https://api.spotify.com/v1/audio-analysis/396WOfbkqKaXYFwx6XjdOF,208680,4
1539,Avril Lavigne,Girlfriend (feat. Lil Mama) - Dr. Luke Mix,spotify:track:1wwt0TvrGY3lnvTAVIx8mO,0.773,0.843,11,-3.8,1,0.108,0.0394,0.0,0.341,0.844,82.025,audio_features,1wwt0TvrGY3lnvTAVIx8mO,https://api.spotify.com/v1/tracks/1wwt0TvrGY3lnvTAVIx8mO,https://api.spotify.com/v1/audio-analysis/1wwt0TvrGY3lnvTAVIx8mO,204867,4
1540,Avril Lavigne,Take Me Away,spotify:track:4e8HF8QcD4HlfgRT6TGDlO,0.511,0.892,4,-2.489,0,0.0343,0.00138,0.00029,0.198,0.255,99.101,audio_features,4e8HF8QcD4HlfgRT6TGDlO,https://api.spotify.com/v1/tracks/4e8HF8QcD4HlfgRT6TGDlO,https://api.spotify.com/v1/audio-analysis/4e8HF8QcD4HlfgRT6TGDlO,177600,4
1541,Avril Lavigne,Love Sux,spotify:track:0ML3PJ6f9lgj1B4FQo4kZB,0.552,0.844,0,-4.445,1,0.0774,0.0036,3.5e-05,0.134,0.767,174.0,audio_features,0ML3PJ6f9lgj1B4FQo4kZB,https://api.spotify.com/v1/tracks/0ML3PJ6f9lgj1B4FQo4kZB,https://api.spotify.com/v1/audio-analysis/0ML3PJ6f9lgj1B4FQo4kZB,168804,4
